key,variant,source_value,fr_target,de_target,ja_target,ko_target,es_target
toast.common.somethingWrongPleaseTryAgain,,Something wrong. Please try again.,,,,,
toast.favourite.updateFailed,,Failed to update favorites,,,,,
toast.meal.logFailed,,Failed to log meal,,,,,
toast.meal.logSuccess,,Successfully logged meal,,,,,
toast.tracking.logSuccessNamed,,Successfully log %1$@,,,,,
toast.water.logFailed,,Failed to log water,,,,,
toast.water.logSuccess,,Successfully logged water,,,,,
toast.weight.logFailed,,Failed to log weight,,,,,
toast.weight.logSuccess,,Successfully logged weight,,,,,
water.glassCount,,water.glassCount,,,,,
water.glassCount,plural.one,%lld glass,,,,,
water.glassCount,plural.other,%lld glasses,,,,,
water.glassSize,,Glass size,,,,,
water.glassSizeDescription,,Set the amount of water per glass when logging,,,,,
water.intake,,Water Intake,,,,,
water.log,,Log Water,,,,,
water.title,,Water,,,,,
weight.goalWeight,,Goal Weight: %@,,,,,
weight.log,,Log Weight,,,,,
weight.title,,Weight,,,,,
